Lowell,J.R.,1970,71
Cable,B.,1991,62
London,J.,1929,42
Doyle,A.C.,2006,54
Doyle,A.C.,1941,94
Doyle,A.C.,1901,40
Doyle,A.C.,1909,41
Doyle,A.C.,1939,66
Doyle,A.C.,1964,73
Filson,J.,1978,102
Doyle,A.C.,1909,76
Twain,M.,1955,66
Burgess,T.W.,1902,88
Collodi,C.,1917,41
Doyle,A.C.,1905,73
Aesop,,1936,86
Wharton,E.,1939,50
Unknown,,1940,118
Cather,W.,1970,92
Kingsley,C.,1982,43
James,H.,1948,93
Bierce,A.,1960,87
Kingsley,C.,1987,109
Griffith,G.C.,1922,104
Wells,H.G.,1957,107
Montgomery,L.M.,1953,71
Montgomery,L.M.,1900,108
Montgomery,L.M.,2009,86
Montgomery,L.M.,1948,57
Rand,A.,1993,95
Plato,,1924,96
Verne,J.,1965,58
Burroughs,E.R.,1908,45
Chopin,K.,1975,48
Dickens,C.,1967,104
James,H.,1909,64
Thackeray,W.M.,1993,66
Dyke,H.v.,1986,63
Twain,M.,1923,48
Wharton,E.,1939,43
Ferber,E.,1900,116
London,J.,1951,79
Twain,M.,1920,67
Doyle,A.C.,1965,44
Conings,,1989,91
Poe,E.A.,1945,76
Haggard,H.R.,1948,52
Dickens,C.,1991,101
Dickens,C.,1958,105
Montgomery,L.M.,1909,88
Unknown,,1973,103
Chesterton,G.K.,2000,114
Paine,T.,1938,41
Twain,M.,1957,79
Various,,1983,53
Jewett,S.O.,1979,114
Gaskell,E.,1906,76
Gorky,M.,2000,54
Dickens,C.,1937,118
Huxley,A.,1902,82
Fitzgerald,F.S.,1995,95
James,H.,2009,44
Sinclair,U.,1914,44
Gaskell,E.,1954,108
Ferber,E.,1949,47
Burnett,F.H.,1900,102
Hornung,E.W.,1932,71
Tuckerman,H.T.,2005,96
Irving,W.,2008,106
Harte,B.,1971,96
Defoe,D.,1968,111
Doyle,A.C.,1986,109
Dickens,C.,1929,119
Wells,H.G.,1928,44
Baum,L.F.,1994,103
Hawthorne,N.,1908,112
Stoker,B.,2000,66
Verne,J.,1910,114
Orczy,B.E.,1920,90
Baum,L.F.,1987,62
Howells,W.D.,1989,41
James,H.,1999,42
Jerome,J.K.,1947,47
Defoe,D.,1921,74
London,J.,1936,83
Poe,E.A.,1914,114
Publius,,1975,117
Publius,,1926,75
Rohmer,S.,1955,91
Hay,I.,2007,89
Bush,G.W.,1998,80
Cleveland,G.,1940,69
Clinton,W.J.,1945,88
Eisenhower,D.D.,1950,109
Grant,U.S.,1903,66
Jackson,A.,1999,64
Lincoln,A.,1980,75
Madison,J.,1988,57
McKinley,W.,1971,78
Monroe,J.,1987,62
Nixon,R.M.,2007,45
Reagan,R.,1972,110
Washington,G.,1976,48
Wilson,W.,1978,72
Jefferson,T.,1944,81
Roosevelt,F.D.,2007,113
Wells,H.G.,1987,49
Dyke,H.v.,1981,58
London,J.,1910,119
Roosevelt,F.D.,1993,44
Shelley,M.W.,1986,103
Defoe,D.,1955,86
Dostoevsky,F.,1923,104
London,J.,1901,84
Henry,O.,1963,44
Lincoln,A.,1987,55
Wharton,E.,1993,90
Baum,L.F.,1976,97
Conings,,1968,56
Wells,H.G.,1945,84
Dickens,C.,1900,73
Montgomery,L.M.,1996,103
Hawthorne,N.,1942,104
Hawthorne,N.,1988,102
Stockton,F.R.,1935,87
Dickens,C.,1952,119
Morley,C.,2006,110
Dickens,C.,1986,115
Conrad,J.,1907,89
Howells,W.D.,1909,40
Chesterton,G.K.,2001,105
Flaubert,G.,1928,91
Kingsley,C.,1968,103
Doyle,A.C.,1960,89
